round	value	daily_double	category	comments	answer	question	air_date	notes
2	2000	yes	MIDDLE EAST HISTORY	-	In 1984 women voted for the first time in this Hashemite kingdom	Jordan	1994-09-05	-
2	200	no	AMERICANA	-	New Britain, the "Hardware City" of this state, is about 10 miles southwest of Hartford	Connecticut	1994-09-05	-
2	400	no	AMERICANA	-	Mobile is nicknamed the "City of" this many "Flags", which makes it sound like a theme park	six	1994-09-05	-
2	600	no	AMERICANA	-	Carter's Grove is among the loveliest of this state's James River Plantations	Virginia	1994-09-05	-
2	800	no	AMERICANA	-	Brattleboro has been called the place "Where" this state "Begins\"	Vermont	1994-09-05	-
2	1000	no	AMERICANA	-	The Skowhegan State Fair, held in this state since 1818, is said to be the nation's oldest continuing fair	Maine	1994-09-05	-
2	200	no	GOVERNMENT & POLITICS	-	Since 1869 its membership has been set at a Chief Justice & 8 Associate Justices	the United States Supreme Court	1994-09-05	-
2	400	no	GOVERNMENT & POLITICS	-	This party to which John Adams belonged disappeared from national politics after the 1816 election	Federalist Party	1994-09-05	-
2	600	no	GOVERNMENT & POLITICS	-	This Constitutional Amendment was proposed by Congress in 1917, ratified in 1919 & repealed in 1933	18th Amendment	1994-09-05	-
2	2000	yes	GOVERNMENT & POLITICS	-	The Coast Guard, once part of the Treasury, falls under the jurisdiction of this dept. during peacetime	the Department of Transportation	1994-09-05	-
2	1000	no	GOVERNMENT & POLITICS	-	In 1993 this Alabama governor was forced to step down after a conviction on felony ethics charges	(Guy) Hunt	1994-09-05	-
2	200	no	NOVELS & NOVELISTS	-	His novel "Oliver Twist" is subtitled "The Parish Boy's Progress\"	Charles Dickens	1994-09-05	-
2	400	no	NOVELS & NOVELISTS	-	R. K. Narayan writes novels & stories set in Malgudi, a fictional village in this large Asian country	India	1994-09-05	-
2	600	no	NOVELS & NOVELISTS	-	Clive is an art student in love with his cousin Ethel in "The Newcomes" by this "Vanity Fair" novelist	William Makepeace Thackeray	1994-09-05	-
2	800	no	NOVELS & NOVELISTS	-	She wrote several novels, including "The Burden", under the "Mysterious" pseudonym Mary Westmacott	Agatha Christie	1994-09-05	-
2	1000	no	NOVELS & NOVELISTS	-	Carol Kennicott struggles to change the town of Gopher Prairie in this Sinclair Lewis novel	Main Street	1994-09-05	-
2	200	no	RAILROADS	-	Almost all U.S. locomotives use this type of engine to create power	a diesel	1994-09-05	-
2	400	no	RAILROADS	-	About 20% of the funds for this semipublic railroad corporation are provided by Congress	Amtrak	1994-09-05	-
2	600	no	RAILROADS	-	Most commonly, it's 4' 8 1/2\"	standard gauge of track	1994-09-05	-
2	800	no	RAILROADS	-	Compressed air in a rock drill inspired George Westinghouse to invent this in 1869	the air brake	1994-09-05	-
2	1000	no	RAILROADS	-	In 1981 France began operating this high-speed train capable of speeds of up to 235 mph	the Très Grande Vitesse	1994-09-05	-
2	200	no	\"P"EOPLE	-	In 1615 Thomas Rolfe was born to John Rolfe & this Indian princess in Colonial Virginia	Pocahontas	1994-09-05	-
2	400	no	\"P"EOPLE	-	On March 4, 1681 this Quaker was granted a charter for a colony west of the Delaware River	William Penn	1994-09-05	-
2	600	no	\"P"EOPLE	-	This English author was the Clerk of the Acts of the Navy when he kept his "Diary\"	Samuel Pepys	1994-09-05	-
2	800	no	\"P"EOPLE	-	In early 1944 he took command of the U.S. Third Army for the French Campaign	(George) Patton	1994-09-05	-
2	1000	no	\"P"EOPLE	-	In 1951 this retailer published an autobiography titled "Fifty Years with the Golden Rule\"	J. C. Penney	1994-09-05	-
3	0	no	THE OLYMPICS	-	Of all the cities that have hosted the Winter Olympics, this one is the farthest north	Lillehammer, Norway	1994-09-05	-
1	100	no	ANDREW JACKSON	-	Jackson's heroic defense of this city came after the War of 1812 peace treaty had been signed	New Orleans	1994-09-07	-
1	200	no	ANDREW JACKSON	-	Jackson sat in the convention that framed this state's first constitution in 1796	Tennessee	1994-09-07	-
1	300	no	ANDREW JACKSON	-	This party held its first national nominating convention in 1832 to name Jackson's running mate	Democratic Party	1994-09-07	-
1	400	no	ANDREW JACKSON	-	Jackson served in this war that began when he was 8 years old	the Revolutionary War	1994-09-07	-
1	500	no	ANDREW JACKSON	-	After his death in 1845, Jackson was buried in the garden of this plantation	The Hermitage	1994-09-07	-
1	100	no	CLOTHING	-	This state is home to the muumuu	Hawaii	1994-09-07	-
1	200	no	CLOTHING	-	They hold up your lederhosen	suspenders	1994-09-07	-
1	300	no	CLOTHING	-	A traditional sailor suit features trousers of this shape	bell bottoms	1994-09-07	-
1	400	no	CLOTHING	-	One may be harem, hobble or hoop	skirt	1994-09-07	-
1	500	no	CLOTHING	-	Color of a priest's alb, the linen robe worn for mass	white	1994-09-07	-
1	100	no	MUSICAL TERMS	-	In violin music martele means to accent the notes sharply, as if striking a nail with this tool	hammer	1994-09-07	-
1	200	no	MUSICAL TERMS	-	An instrumental composition that often features excerpts from ballets, like "The Nutcracker\"	suite	1994-09-07	-
1	300	no	MUSICAL TERMS	-	A symphonic poem such as Liszt's "Die Hunnenschlacht" is also known as this kind of "poem\"	tone poem	1994-09-07	-
1	400	no	MUSICAL TERMS	-	It's the specific term for the person who writes the text of an opera	librettist	1994-09-07	-
1	500	no	MUSICAL TERMS	-	It's a fanciful or "humorous" French term for a composition; Dvorak wrote a famous one	humoresque	1994-09-07	-
1	100	no	GEOLOGY	-	One of these is considered dormant if it has erupted in historic times & is likely to again	volcano	1994-09-07	-
1	200	no	GEOLOGY	-	These masses of snow that move rapidly down mountain slopes can reach speeds of over 200 MPH	avalanche	1994-09-07	-
1	300	no	GEOLOGY	-	This Rio de Janeiro landmark is an example of an inselberg or "island mountain\"	Sugarloaf Mountain	1994-09-07	-
1	400	no	GEOLOGY	-	The landmass is the part of the continental crust above this level	sea level	1994-09-07	-
1	500	no	GEOLOGY	-	The oldest & largest division of geological time is the Pre-this	Cambrian	1994-09-07	-
1	100	no	WOMEN'S FIRSTS	-	After her husband's murder in 1865, she became the 1st widow of a pres. to receive a yearly pension	Mary Todd Lincoln	1994-09-07	-
1	200	no	WOMEN'S FIRSTS	-	In 1932 Hattie Caraway from this "Land of Opportunity" became the 1st woman elected to the Senate	Arkansas	1994-09-07	-
1	300	no	WOMEN'S FIRSTS	-	Harriet Quimby was the 1st woman to fly over this body of water, long before Gertrude Ederle swam it	the English Channel	1994-09-07	-
1	800	yes	WOMEN'S FIRSTS	-	Antonia Novello became the 1st woman surgeon general when she succeeded this man in 1990	C. Everett Koop	1994-09-07	-
1	500	no	WOMEN'S FIRSTS	-	Wounded during the Pearl Harbor attack, nurse Annie Fox was the 1st woman to receive this military medal	Purple Heart	1994-09-07	-
1	100	no	SPELL THAT NAME	(Alex: And yes, the dreaded spelling category!)	\"Nightline" night owl Ted	K-O-P-P-E-L	1994-09-07	-
1	200	no	SPELL THAT NAME	(Alex: And yes, the dreaded spelling category!)	\"Superman" Christopher	R-E-E-V-E	1994-09-07	-
1	300	no	SPELL THAT NAME	(Alex: And yes, the dreaded spelling category!)	Mr. Trudeau, the daddy of "Doonesbury\"	G-A-R-R-Y	1994-09-07	-
1	400	no	SPELL THAT NAME	(Alex: And yes, the dreaded spelling category!)	Willowy warbler Warwick	D-I-O-N-N-E	1994-09-07	-
1	500	no	SPELL THAT NAME	(Alex: And yes, the dreaded spelling category!)	Movie mermaid Hannah	D-A-R-Y-L	1994-09-07	-
2	200	no	WORLD GEOGRAPHY	-	Emi Koussi, an extinct volcano in Chad, is this desert's highest elevation	Sahara	1994-09-07	-
2	400	no	WORLD GEOGRAPHY	-	This country can be divided into 3 main regions: the Mountain Region, Tarai Region & Katmandu Valley	Nepal	1994-09-07	-
2	600	no	WORLD GEOGRAPHY	-	The chief islands in this strategic gulf are Qishm & Bahrain	Persian Gulf	1994-09-07	-
2	800	no	WORLD GEOGRAPHY	-	This country's 2 largest lakes, Vanern & Vattern, are linked by the Gota Canal	Sweden	1994-09-07	-
2	1000	no	WORLD GEOGRAPHY	-	Famed for its dancing & decorative arts, it's the most populous of Indonesia's Lesser Sunda Islands	Bali	1994-09-07	-
2	200	no	SONGS OF THE '60s	-	In 1967 Sopwith Camel hit No. 26 with "Hello Hello" & this group hit No. 1 with "Hello, Goodbye\"	The Beatles	1994-09-07	-
2	400	no	SONGS OF THE '60s	-	The name of the secretary R.B. Greaves asked to "Take a Letter\"	Maria	1994-09-07	-
2	600	no	SONGS OF THE '60s	-	Color of the curtains in Cream's "White Room\"	black	1994-09-07	-
2	800	no	SONGS OF THE '60s	-	The colossal, colorful commercial character in the title of a 1965 Kingsmen hit	the Jolly Green Giant	1994-09-07	-
2	1000	no	SONGS OF THE '60s	-	Featuring Reg Presley's ocarina playing, this was The Troggs' biggest U.S. hit	\"Wild Thing\"	1994-09-07	-
2	200	no	MYTHOLOGY	-	Geri & Freki are the 2 wolves who attend this greatest Norse god	Odin	1994-09-07	-
2	400	no	MYTHOLOGY	-	In the legends of this country, a phoenix likes to roost in a woo-tung tree	China	1994-09-07	-
2	600	no	MYTHOLOGY	-	Ashur was the national god of this ancient Mesopotamian kingdom named for him	Assyria	1994-09-07	-
2	800	no	MYTHOLOGY	-	Like his sister Cassandra, Helenus possessed the gift of this	prophecy	1994-09-07	-
2	1000	no	MYTHOLOGY	-	This Roman goddess of wisdom wears a helmet because she's also the Roman goddess of war	Minerva	1994-09-07	-
2	200	no	1946	-	This comedian known for his bulbous nose & penchant for liquor died on Dec. 25, 1946	W.C. Fields	1994-09-07	-
2	400	no	1946	-	This invention of Fred Schmidt debuted at an American Bowling Congress tournament in Buffalo	automatic pin setter	1994-09-07	-
2	3000	yes	1946	-	In 1946 the Pope made Archbishop Spellman a cardinal & this American woman a saint	Mother Cabrini	1994-09-07	-
2	800	no	1946	-	This German-turned-Swiss author of "Steppenwolf" picked up the Nobel Prize for Literature	Hermann Hesse	1994-09-07	-
2	1000	no	1946	-	On Dec. 1, 1946 King Michael opened this country's new parliament	Romania	1994-09-07	-
2	200	no	WEATHER	-	The lowest recorded temperature in the U.S. was -79.8 degrees F. on Jan. 23, 1971, in this state	Alaska	1994-09-07	-
2	400	no	WEATHER	-	It's a measure of the amount of water vapor in the air	humidity	1994-09-07	-
2	600	no	WEATHER	-	One type of this instrument measures wind speed by using sound signals	anemometer	1994-09-07	-
2	800	no	WEATHER	-	Averaging 25,000 feet & above, it's the highest standard cloud form	cirrus	1994-09-07	-
2	5000	yes	WEATHER	-	This calm area near the equator is the meeting place for the northeast & southeast trade winds	the Doldrums	1994-09-07	-
2	200	no	THEATRE	-	Nicol Williamson's onstage antics made headlines when he played this Barrymore's ghost in "I Hate Hamlet\"	John	1994-09-07	-
2	400	no	THEATRE	-	A 1927 play by Eugene O'Neill deals with the life of this man after he's resurrected by Jesus	Lazarus	1994-09-07	-
2	600	no	THEATRE	-	Tony Randall directed a 1992 revival of "The Master Builder" by this Scandinavian playwright	Ibsen	1994-09-07	-
2	800	no	THEATRE	-	This Italian form of improvised comedy featured tricks & stunts called lazzi	Commedia dell'arte	1994-09-07	-
2	1000	no	THEATRE	-	The first production of "The Sea Gull" failed, but it became a hit at this Russian theatre in 1898	Moscow Art Theatre	1994-09-07	-
3	0	no	AUTHORS	-	The novelist who wrote, "The beginning of the end of war lies in remembrance\"	Herman Wouk	1994-09-07	-
1	100	no	THE CONSTITUTION	-	This nickname of the 20th Amendment sounds like a wounded mallard	lame duck	1994-09-13	-
1	200	no	THE CONSTITUTION	-	To expel a member, Article 1, Section 5.2 says that this fraction of the House must vote yes	two-thirds	1994-09-13	-
1	300	no	THE CONSTITUTION	-	Secret meetings were held in 1787 to draw up the Constitution in order to replace these	Articles of Confederation	1994-09-13	-
1	400	no	THE CONSTITUTION	-	The preamble states that the Constitution is here to "insure domestic" this	tranquility	1994-09-13	-
1	500	no	THE CONSTITUTION	-	The U.S. Constitution has this number of amendments	26	1994-09-13	-
1	100	no	CELEBRITY JEOPARDY!	-	Known as "Mr. October", I hold the record for most home runs in one World Series	Reggie Jackson	1994-09-13	-
1	200	no	CELEBRITY JEOPARDY!	-	Sugar Babe's husband on "The Real McCoys", Sylvester Stallone rescued me in "Rambo III\"	Richard Crenna	1994-09-13	-
1	300	no	CELEBRITY JEOPARDY!	-	I'm glad I got to be Frank Drebin of Police Squad because I get to kiss Priscilla Presley	Leslie Nielsen	1994-09-13	-
1	400	no	CELEBRITY JEOPARDY!	-	\"Maggie May" know I was in the group "Nose, Hair & Teeth"; I was Nose, E. John, Hair & F. Mercury, Teeth	Rod Stewart	1994-09-13	-
1	500	no	CELEBRITY JEOPARDY!	-	First Lady of "To Tell The Truth", I'm the chairman of the New York State Council on the Arts	Kitty Carlisle	1994-09-13	-
1	100	no	COUNTIES	-	Cambridge & Lowell are the seats of Middlesex County in this state	Massachusetts	1994-09-13	-
1	200	no	COUNTIES	-	There's a Missouri county with this name associated with "Believe It or Not!\"	Ripley	1994-09-13	-
1	300	no	COUNTIES	-	With a population of over 2 million, Kings County is this state's largest county	New York	1994-09-13	-
1	400	no	COUNTIES	-	This Montana county was named for a river that was named for a type of sheep	Big Horn	1994-09-13	-
1	1000	yes	COUNTIES	-	Of the 50 counties with the largest percentage of children, 15 are in this state	Florida	1994-09-13	-
1	100	no	FIRST AID	-	Treatments for this differ if the victim swallowed, inhaled, absorbed or was injected with it	poison	1994-09-13	-
1	200	no	FIRST AID	-	Your first aid kit should have a pair of these in it for removing thorns & splinters	tweezers	1994-09-13	-
1	300	no	FIRST AID	-	If you have to move the victim of a break or dislocation, first apply one of these	splint	1994-09-13	-
1	400	no	FIRST AID	-	A pinch of this should be added to the water given to a victim of heat exhaustion	salt	1994-09-13	-
1	500	no	FIRST AID	-	When flushing this body part, flush from the inside corner out to avoid contaminating the other one	eye	1994-09-13	-
1	100	no	FISH	-	These whiskered fish range from about 1 1/2 inches to 15 feet in length	catfish	1994-09-13	-
1	200	no	FISH	-	The South American pacu is closely related to this feared predator, but it eats only plants	piranha	1994-09-13	-
1	300	no	FISH	-	Male pipefish have an unusual pouch on the abdomen in which they carry these	eggs	1994-09-13	-
1	400	no	FISH	-	In Hemingway's "The Old Man and the Sea", Santiago catches a huge specimen of this game fish	giant marlin	1994-09-13	-
1	500	no	FISH	-	In the 1970s concern for the "snail" species of this fish delayed completion of the Tellico Dam	darter	1994-09-13	-
1	100	no	COLORFUL PHRASES	-	Many adventure seekers enjoy the challenge of rafting on this turbulent part of a river	whitewaters	1994-09-13	-
1	200	no	COLORFUL PHRASES	-	In 1984 Prince had a gold record with this title song from his movie debut	\"Purple Rain\"	1994-09-13	-
1	300	no	COLORFUL PHRASES	-	Floral phrase for a self-effacing or shy person	shrinking violet	1994-09-13	-
1	400	no	COLORFUL PHRASES	-	To edit a manuscript or the instrument used to do it	blue pencil	1994-09-13	-
1	500	no	COLORFUL PHRASES	-	In population, it's the smallest of South Africa's provinces	Orange Free State	1994-09-13	-
2	200	no	WORLD GEOGRAPHY	-	Bridges in this Turkish city include Galata, Ataturk & Bosporus	Istanbul	1994-09-13	-
2	400	no	WORLD GEOGRAPHY	-	Over one-third of Canada's population lives in this province	Ontario	1994-09-13	-
2	600	no	WORLD GEOGRAPHY	-	The Bight of Biafra borders Cameroon, Equatorial Guinea & this country	Nigeria	1994-09-13	-
2	800	no	WORLD GEOGRAPHY	-	The Kattegat Strait separates Sweden from this Danish peninsula	Jutland	1994-09-13	-
2	1000	no	WORLD GEOGRAPHY	-	The Mau Escarpment is a steep slope along the Great Rift Valley in this African country	Kenya	1994-09-13	-
2	200	no	GREEK MYTHOLOGY	-	These half-equine creatures are also called the Ixiondae because they're the sons of Ixion	centaurs	1994-09-13	-
2	400	no	GREEK MYTHOLOGY	-	Hermione was the only child of Menelaus & this famous beauty	Helen of Troy	1994-09-13	-
2	600	no	GREEK MYTHOLOGY	-	Some say these guardians of the golden apples were the daughters of Atlas and Hesperis	the Hesperides	1994-09-13	-
2	800	no	GREEK MYTHOLOGY	-	The number 4 was sacred to this god, the Greek counterpart of Mercury	Hermes	1994-09-13	-
2	1000	no	GREEK MYTHOLOGY	-	This Titaness, Zeus' mother, has the same name as a huge ostrichlike South American bird	Rhea	1994-09-13	-
2	200	no	MORTAL MATTERS	-	When this Tudor king was dying, he yelled, "Monks, Monks, Monks!" not "Wives, Wives, Wives!\"	Henry VIII	1994-09-13	-
2	400	no	MORTAL MATTERS	-	In 1956 you could view this actor's "Death Car" for 25c, sit in it for 25c more, or purchase a piece	James Dean	1994-09-13	-
2	600	no	MORTAL MATTERS	-	Often used in magic acts, this tool, said to have killed St. Simon, is now his symbol	saw	1994-09-13	-
2	1000	yes	MORTAL MATTERS	-	Island over which the ashes of Fats Waller & Damon Runyon were scattered	Manhattan	1994-09-13	-
2	1000	no	MORTAL MATTERS	-	Robert Ressler coined this 2-word phrase to classify people like Ted Bundy & David Berkowitz	serial killer	1994-09-13	-
2	200	no	FOOD	-	These dark red-skinned beans are a popular ingredient in chili con carne	kidney beans	1994-09-13	-
2	400	no	FOOD	-	Corn syrup, sugar & gelatin are the basic ingredients in this fluffy confection	marshmallows	1994-09-13	-
2	600	no	FOOD	-	It's the type of crustacean found in sauce aux crevettes	shrimp	1994-09-13	-
2	1500	yes	FOOD	-	It's the German name for a veal cutlet dipped in egg, breaded & deep fried	schnitzel	1994-09-13	-
2	1000	no	FOOD	-	Named for the Georgia city where it's grown, it's been called "The Sweetest Onion in the World\"	Vidalia	1994-09-13	-
2	200	no	HISTORY	-	In 1755 one of Europe's most devastating earthquakes destroyed much of this Portuguese capital	Lisbon	1994-09-13	-
2	400	no	HISTORY	-	Begun in 1163, this Paris cathedral was the site of Napoleon's & Mary Stuart's crownings	Notre Dame	1994-09-13	-
2	600	no	HISTORY	-	British forces captured this rocky fortress from Spain in 1704 & have held it ever since	Gibraltar	1994-09-13	-
2	800	no	HISTORY	-	This last imperial dynasty of China was overthrown in a 1911 revolution	the Manchus	1994-09-13	-
2	1000	no	HISTORY	-	Tragically, in 1988 this U.S. warship shot down an Iranian passenger jet, mistaking it for an attack plane	the Vincennes	1994-09-13	-
2	200	no	ENGLISH LITERATURE	-	His first novel, "Burmese Days", was published in 1934, not 1984	George Orwell	1994-09-13	-
2	400	no	ENGLISH LITERATURE	-	This prime minister completed only 9 chapters of his novel "Falconet" before his 1881 death	Benjamin Disraeli	1994-09-13	-
2	600	no	ENGLISH LITERATURE	-	E.M Forster's novel "A Room with a View" opens in the Pensione Bertolini in this Italian city	Florence	1994-09-13	-
2	800	no	ENGLISH LITERATURE	-	His novel "The Mayor of Casterbridge" is subtitled "A Story of a Man with Character\"	Thomas Hardy	1994-09-13	-
2	1000	no	ENGLISH LITERATURE	-	Elshie of the Mucklestanes is the title character of this Scotsman's 1816 novel "The Black Dwarf\"	Sir Walter Scott	1994-09-13	-
3	0	no	TECHNOLOGY	-	The first commercial product to use the transistor; the radio came 2 years later in 1954	a hearing aid	1994-09-13	-
1	100	no	FIRST LADIES	-	Sarah Phillips designed the stunning violet gown this first lady wore to the 1993 inaugural balls	Hillary Clinton	1994-09-20	-
1	200	no	FIRST LADIES	-	She said, "There'll be great presidents again...but there'll never be another Camelot again\"	Jacqueline Kennedy	1994-09-20	-
1	300	no	FIRST LADIES	-	She said 1944 "was the year I fell in love with Jimmy's picture"; she was a close friend of his sister Ruth	Rosalynn Carter	1994-09-20	-
1	400	no	FIRST LADIES	-	She was the oldest of Colonel John Dandridge's 8 children	Martha Washington	1994-09-20	-
1	500	no	FIRST LADIES	-	In 1875 a jury decided this former first lady was insane; in 1876 another jury declared her sane	Mary Todd Lincoln	1994-09-20	-
1	100	no	TELEVISION	-	On Oct. 4 1957 this sitcom starring Jerry Mathers premiered	Leave it to Beaver	1994-09-20	-
1	200	no	TELEVISION	-	\"Diary of a Perfect Murder", which aired in 1986, was the pilot film for this Andy Griffith series	Matlock	1994-09-20	-
1	300	no	TELEVISION	-	In 1971 this former N.Y. Giants player joined the crew of "Monday Night Football" & he's still there	Frank Gifford	1994-09-20	-
1	400	no	TELEVISION	-	On "Family Matters", this character was introduced as Laura Winslow's blind date from Hell	Steve Urkel	1994-09-20	-
1	500	no	TELEVISION	-	Dobie Gillis often gave his weekly monologues in the Central City Park in front of this statue	the Thinker	1994-09-20	-
1	100	no	WORLD ALMANAC 1893	-	A list of these, perhaps the largest ever published, included "Rah, rah, ru, Bucknell, B.U.\"	cheers	1994-09-20	-
1	200	no	WORLD ALMANAC 1893	-	Of about 33, 51 or 72 years, the "average duration of human life" in 1893	33 years	1994-09-20	-
1	300	no	WORLD ALMANAC 1893	-	Chicago packed & marketed 5,249,798 of these animals in the year ending March 1, 1892	hogs	1994-09-20	-
1	400	no	WORLD ALMANAC 1893	-	A fifth satellite was found orbiting this planet by E.E. Barnard in 1892; the others were found by Galileo	Jupiter	1994-09-20	-
1	1000	yes	WORLD ALMANAC 1893	-	In terms of population, it was the largest city on Earth	London	1994-09-20	-
1	100	no	LOUISIANA	-	Louisiana has 3 of the nations top 6 ports, including New Orleans & this capital	Baton Rouge	1994-09-20	-
1	200	no	LOUISIANA	-	He coerced Spain to return Louisiana to him in 1800, then sold it to the U.S. in 1803	Napoleon	1994-09-20	-
1	300	no	LOUISIANA	-	These, Louisiana's equivalent of counties, are often governed by bodies called police juries	parishes	1994-09-20	-
1	400	no	LOUISIANA	-	The Vieux Carre section of New Orleans is better known as this	the French Quarter	1994-09-20	-
1	500	no	LOUISIANA	-	In 1948 his son Russell was elected to the U.S. Senate from Louisiana	Huey Long	1994-09-20	-
1	100	no	GAMBLING	-	A "Megabucks" system links these machines between Las Vegas casinos to increase their jackpots	one-armed bandits (slot machines)	1994-09-20	-
1	200	no	GAMBLING	-	The winning numbers for the Irish Sweepstakes came from the winners of this type of race	a horse race	1994-09-20	-
1	300	no	GAMBLING	-	Knucklebones, made from the ankles of sheep, are considered the earliest of these	dice	1994-09-20	-
1	400	no	GAMBLING	-	1962's "Beat the Dealer" by Edward O. Thorp was about card counting in this game	blackjack	1994-09-20	-
1	500	no	GAMBLING	-	The 2 suits that feature one-eyed jacks	spades & hearts	1994-09-20	-
1	100	no	PREFIXES	-	This 4-letter prefix can denote opposition to abortion or slavery	anti-	1994-09-20	-
1	200	no	PREFIXES	-	Oto- pertains to the ear, sono- pertains to sound & this pertains to hearing & sound	audio-	1994-09-20	-
1	300	no	PREFIXES	-	Before soil it means below; before human, nearly or almost	sub-	1994-09-20	-
1	400	no	PREFIXES	-	Meaning ancient and often involving fossils, it precedes -lithic, -zoic & zoology	paleo-	1994-09-20	-
1	500	no	PREFIXES	-	The 2 prefixes, one meaning large, the other meaning small, that describe 2 branches of economics	macro- & micro-	1994-09-20	-
2	200	no	THE MIDDLE AGES	-	The fourth of the military expeditions never reached Palestine, capturing Constantinople instead	the Crusades	1994-09-20	-
2	400	no	THE MIDDLE AGES	-	This Spanish warrior served the Moors before undertaking the conquest of Moorish Valencia in 1089	El Cid	1994-09-20	-
2	600	no	THE MIDDLE AGES	-	Established in 640, this city at the south end of the Nile delta was first called Al-Fustat	Cairo	1994-09-20	-
2	800	no	THE MIDDLE AGES	-	The Abbasid dynasty of caliphs moved the capital of the caliphate from Damascus to this city	Baghdad	1994-09-20	-
2	1000	no	THE MIDDLE AGES	-	At its height some 100 towns belonged to this league of merchants & towns	the Hanseatic League	1994-09-20	-
2	200	no	FOODS OF THE WORLD	-	This fatty, eellike fish is the main ingredient in the French dish lamproie a la bordelaise	a lamprey	1994-09-20	-
